domain,canonical,project_code,symbol,category,subcategory,unit,aliases,description,relations
不良地质,砂土液化,AG-LIQUEFACTION,,地震效应,,,Liquefaction|地震液化|粉土液化,砂土液化，不良地质类型为地震效应。,[]
不良地质,软土,AG-SOFT-SOIL,,特殊岩土,,,Soft Soil|淤泥质土|软弱地基,软土，不良地质类型为特殊岩土。,[]
不良地质,膨胀土,AG-EXPANSIVE-SOIL,,特殊岩土,,,Expansive Soil|胀缩土,膨胀土，不良地质类型为特殊岩土。,[]
不良地质,湿陷性黄土,AG-COLLAPSIBLE-LOESS,,特殊岩土,,,Collapsible Loess|黄土湿陷,湿陷性黄土，不良地质类型为特殊岩土。,[]
不良地质,盐渍土,AG-SALINE-SOIL,,特殊岩土,,,Saline Soil|盐碱土,盐渍土，不良地质类型为特殊岩土。,[]
不良地质,冻土,AG-FROZEN-SOIL,,特殊岩土,,,Frozen Soil|多年冻土|季节冻土,冻土，不良地质类型为特殊岩土。,[]
不良地质,泥炭土,AG-PEAT-SOIL,,特殊岩土,,,Peat Soil|有机质土,泥炭土，不良地质类型为特殊岩土。,[]
不良地质,沼泽地,AG-SWAMP,,特殊场地,,,Swamp|湿地软基,沼泽地，不良地质类型为特殊场地。,[]
不良地质,断层破碎带,AG-FAULT-FRACTURE-ZONE,,构造不良地质,,,Fault Fracture Zone|构造破碎带,断层破碎带，不良地质类型为构造不良地质。,[]
不良地质,岩溶洞穴,AG-KARST-CAVE,,岩溶不良地质,,,Karst Cave|溶洞|喀斯特洞穴,岩溶洞穴，不良地质类型为岩溶不良地质。,[]
不良地质,岩溶管道,AG-KARST-CONDUIT,,岩溶不良地质,,,Karst Conduit|溶蚀通道|岩溶通道,岩溶管道，不良地质类型为岩溶不良地质。,[]
不良地质,地下暗河,AG-UNDERGROUND-RIVER,,岩溶不良地质,,,Underground River Hazard|暗河,地下暗河，不良地质类型为岩溶不良地质。,[]
不良地质,冲沟侵蚀,AG-GULLY-EROSION,,侵蚀灾害,,,Gully Erosion|冲刷侵蚀,冲沟侵蚀，不良地质类型为侵蚀灾害。,[]
不良地质,库岸坍塌,AG-RESERVOIR-BANK-COLLAPSE,,库岸灾害,,,Reservoir Bank Collapse|库岸崩塌,库岸坍塌，不良地质类型为库岸灾害。,[]
不良地质,边坡变形,AG-SLOPE-DEFORMATION,,工程变形,,,Slope Deformation|边坡开裂,边坡变形，不良地质类型为工程变形。,[]
围岩等级,I级围岩,RC-I,,隧道围岩分级,,,Ⅰ级围岩|I类围岩|Ⅰ类围岩|Class I,围岩整体稳定性好，通常仅需局部支护。,[]
围岩等级,II级围岩,RC-II,,隧道围岩分级,,,Ⅱ级围岩|II类围岩|Ⅱ类围岩|Class II,围岩较稳定，可能局部掉块。,[]
围岩等级,III级围岩,RC-III,,隧道围岩分级,,,Ⅲ级围岩|III类围岩|Ⅲ类围岩|Class III,围岩稳定性一般，需及时支护。,[]
围岩等级,IV级围岩,RC-IV,,隧道围岩分级,,,Ⅳ级围岩|IV类围岩|Ⅳ类围岩|Class IV,围岩稳定性较差，开挖后易产生较大变形。,[]
围岩等级,V级围岩,RC-V,,隧道围岩分级,,,Ⅴ级围岩|V类围岩|Ⅴ类围岩|Class V,围岩稳定性差，需强支护和短进尺。,[]
围岩等级,VI级围岩,RC-VI,,隧道围岩分级,,,Ⅵ级围岩|VI类围岩|Ⅵ类围岩|Class VI,土状、散体或特殊不良围岩，需专项设计。,[]
工程地质指标,单轴抗压强度,EI-UCS,,强度指标,,MPa,UCS|抗压强度|Uniaxial Compressive Strength|σc|饱和抗压强度,单轴抗压强度，工程地质指标类别为强度指标。,[]
工程地质指标,抗拉强度,EI-TS,,强度指标,,MPa,Tensile Strength|劈裂抗拉强度|σt,抗拉强度，工程地质指标类别为强度指标。,[]
工程地质指标,抗剪强度,EI-SS,,强度指标,,MPa,Shear Strength|剪切强度,抗剪强度，工程地质指标类别为强度指标。,[]
工程地质指标,黏聚力,EI-COHESION,,抗剪参数,,kPa / MPa,Cohesion|c值|内聚力,黏聚力，工程地质指标类别为抗剪参数。,[]
工程地质指标,内摩擦角,EI-FRICTION-ANGLE,,抗剪参数,,°,Friction Angle|φ值|摩擦角|φ,内摩擦角，工程地质指标类别为抗剪参数。,[]
工程地质指标,弹性模量,EI-ELASTIC-MODULUS,,变形指标,,GPa / MPa,Elastic Modulus|Young Modulus|杨氏模量|E|弹模,弹性模量，工程地质指标类别为变形指标。,[]
工程地质指标,变形模量,EI-DEFORMATION-MODULUS,,变形指标,,GPa / MPa,Deformation Modulus|岩体变形模量,变形模量，工程地质指标类别为变形指标。,[]
工程地质指标,泊松比,EI-POISSON,,变形指标,,无量纲,Poisson Ratio|ν|μ|侧向应变比,泊松比，工程地质指标类别为变形指标。,[]
工程地质指标,天然密度,EI-NATURAL-DENSITY,,物理指标,,g/cm³ / kg/m³,Natural Density|湿密度|ρ,天然密度，工程地质指标类别为物理指标。,[]
工程地质指标,干密度,EI-DRY-DENSITY,,物理指标,,g/cm³ / kg/m³,Dry Density|干容重,干密度，工程地质指标类别为物理指标。,[]
工程地质指标,饱和密度,EI-SATURATED-DENSITY,,物理指标,,g/cm³ / kg/m³,Saturated Density|饱和容重,饱和密度，工程地质指标类别为物理指标。,[]
工程地质指标,重度,EI-UNIT-WEIGHT,,物理指标,,kN/m³,Unit Weight|容重|γ,重度，工程地质指标类别为物理指标。,[]
工程地质指标,土粒比重,EI-SPECIFIC-GRAVITY,,物理指标,,无量纲,Specific Gravity|比重|Gs,土粒比重，工程地质指标类别为物理指标。,[]
工程地质指标,孔隙率,EI-POROSITY,,物理指标,,%,Porosity|n,孔隙率，工程地质指标类别为物理指标。,[]
工程地质指标,孔隙比,EI-VOID-RATIO,,物理指标,,无量纲,Void Ratio|e,孔隙比，工程地质指标类别为物理指标。,[]
工程地质指标,含水率,EI-WATER-CONTENT,,物理指标,,%,Water Content|天然含水率|ω,含水率，工程地质指标类别为物理指标。,[]
工程地质指标,饱和度,EI-SATURATION,,物理指标,,%,Degree of Saturation|Sr,饱和度，工程地质指标类别为物理指标。,[]
工程地质指标,渗透系数,EI-HYDRAULIC-CONDUCTIVITY,,水文参数,,m/s / m/d,Hydraulic Conductivity|透水系数|K值,渗透系数，工程地质指标类别为水文参数。,[]
工程地质指标,涌水量,EI-WATER-INFLOW,,水文参数,,L/min / m³/h,Water Inflow|出水量|Qw,涌水量，工程地质指标类别为水文参数。,[]
工程地质指标,水压力,EI-WATER-PRESSURE,,水文参数,,kPa / MPa,Water Pressure|孔隙水压力|Pw,水压力，工程地质指标类别为水文参数。,[]
工程地质指标,RQD,EI-RQD,,岩体质量指标,,%,Rock Quality Designation|岩芯质量指标|岩石质量指标,RQD，工程地质指标类别为岩体质量指标。,[]
工程地质指标,RMR,EI-RMR,,岩体质量指标,,0-100,Rock Mass Rating|Bieniawski分级|岩体质量评级,RMR，工程地质指标类别为岩体质量指标。,[]
工程地质指标,Q值,EI-Q-SYSTEM,,岩体质量指标,,无量纲,Q-system|Q System|巴顿Q值|Barton Q,Q值，工程地质指标类别为岩体质量指标。,[]
工程地质指标,BQ值,EI-BQ,,岩体质量指标,,分值,Basic Quality|岩体基本质量指标|BQ,BQ值，工程地质指标类别为岩体质量指标。,[]
工程地质指标,岩体完整性系数,EI-KV,,岩体质量指标,,无量纲,Integrity Coefficient|完整性系数|Kv,岩体完整性系数，工程地质指标类别为岩体质量指标。,[]
工程地质指标,纵波波速,EI-P-WAVE,,动力指标,,m/s,P-wave Velocity|Vp|纵波速度|声波速度,纵波波速，工程地质指标类别为动力指标。,[]
工程地质指标,横波波速,EI-S-WAVE,,动力指标,,m/s,S-wave Velocity|Vs|横波速度,横波波速，工程地质指标类别为动力指标。,[]
工程地质指标,动弹性模量,EI-DYNAMIC-MODULUS,,动力指标,,GPa,Dynamic Elastic Modulus|Ed,动弹性模量，工程地质指标类别为动力指标。,[]
工程地质指标,节理间距,EI-JOINT-SPACING,,结构面指标,,mm / cm / m,Joint Spacing|裂隙间距,节理间距，工程地质指标类别为结构面指标。,[]
工程地质指标,节理张开度,EI-JOINT-APERTURE,,结构面指标,,mm,Joint Aperture|裂隙宽度|张开度,节理张开度，工程地质指标类别为结构面指标。,[]
工程地质指标,节理粗糙度系数,EI-JRC,,结构面指标,,0-20,JRC|Joint Roughness Coefficient,节理粗糙度系数，工程地质指标类别为结构面指标。,[]
工程地质指标,结构面倾向,EI-DIP-DIRECTION,,产状指标,,°,Dip Direction|倾向,结构面倾向，工程地质指标类别为产状指标。,[]
工程地质指标,结构面倾角,EI-DIP-ANGLE,,产状指标,,°,Dip Angle|倾角,结构面倾角，工程地质指标类别为产状指标。,[]
工程地质指标,液限,EI-LIQUID-LIMIT,,土工指标,,%,Liquid Limit|WL|液性限度,液限，工程地质指标类别为土工指标。,[]
工程地质指标,塑限,EI-PLASTIC-LIMIT,,土工指标,,%,Plastic Limit|WP|塑性限度,塑限，工程地质指标类别为土工指标。,[]
工程地质指标,塑性指数,EI-PLASTICITY-INDEX,,土工指标,,无量纲,Plasticity Index|IP,塑性指数，工程地质指标类别为土工指标。,[]
工程地质指标,压缩系数,EI-COMPRESSIBILITY,,土工指标,,MPa⁻¹,Coefficient of Compressibility|a1-2,压缩系数，工程地质指标类别为土工指标。,[]
工程地质指标,压缩模量,EI-CONSTRAINED-MODULUS,,土工指标,,MPa,Constrained Modulus|Es,压缩模量，工程地质指标类别为土工指标。,[]
工程地质指标,地基承载力,EI-BEARING-CAPACITY,,工程指标,,kPa,Bearing Capacity|承载力特征值|fak,地基承载力，工程地质指标类别为工程指标。,[]
工程地质指标,标准贯入击数,EI-SPT-N,,原位测试,,击,SPT N|N值|标准贯入试验击数,标准贯入击数，工程地质指标类别为原位测试。,[]
工程地质指标,锥尖阻力,EI-CPT-QC,,原位测试,,MPa,Cone Resistance|qc|静力触探锥尖阻力,锥尖阻力，工程地质指标类别为原位测试。,[]
工程地质指标,侧壁摩阻力,EI-CPT-FS,,原位测试,,kPa,Sleeve Friction|fs|静力触探侧摩阻力,侧壁摩阻力，工程地质指标类别为原位测试。,[]
工程地质指标,坚固性系数,EI-PROTODYAKONOV,,岩石工程指标,,无量纲,Protodyakonov Coefficient|普氏系数|f值,坚固性系数，工程地质指标类别为岩石工程指标。,[]
工程地质指标,风化程度,EI-WEATHERING-DEGREE,,岩体状态指标,,等级,Weathering Degree|风化等级,风化程度，工程地质指标类别为岩体状态指标。,[]
